ID	Gene Name	Species	GAD_DISEASE
IVNS1ABP	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens	C-Reactive Protein,Lipoproteins, VLDL,Respiratory Function Tests,Tobacco Use Disorder,Urinalysis,obesity,
IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma(IKBKG)	Homo sapiens	Bone Mineral Density,HIV Infections|[X]Human immunodeficiency virus disease,atherosclerosis,
PPA1	inorganic pyrophosphatase 1(PPA1)	Homo sapiens	Tumor Necrosis Factor-alpha,
IMPDH2	inosine monophosphate dehydrogenase 2(IMPDH2)	Homo sapiens	Arthritis, Rheumatoid|Rheumatoid Arthritis,Chronic renal failure|Kidney Failure, Chronic,Kidney Failure, Chronic,acute rejection after kidney transplantation,mycophenolate mofetil,normal variation,schizophrenia,
INPP5D	inositol polyphosphate-5-phosphatase D(INPP5D)	Homo sapiens	Hepatitis C|Remission, Spontaneous,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,
ITM2C	integral membrane protein 2C(ITM2C)	Homo sapiens	Apoplexy|Cerebral Hemorrhage|Cerebral Hemorrhages|Intracranial Hemorrhages|Stroke|Subarachnoid Hemorrhage,hypertension,
ILK	integrin linked kinase(ILK)	Homo sapiens	plasma HDL cholesterol (HDL-C) levels,
ITGAE	integrin subunit alpha E(ITGAE)	Homo sapiens	ADHD | attention-deficit hyperactivity disorder,Attention Deficit Disorder with Hyperactivity,Brain Ischemia|Cardiovascular Diseases|Coronary Disease|Stroke,Coronary Disease|Coronary heart disease|Myocardial Infarction,Dengue Hemorrhagic Fever,Graves Ophthalmopathy|Thyroid associated opthalmopathies,Leukemia, Lymphocytic, Chronic, B-Cell,Sarcoidosis,Tobacco Use Disorder,
ITGAL	integrin subunit alpha L(ITGAL)	Homo sapiens	Parkinson Disease,Type 2 Diabetes| edema | rosiglitazone,gastric ulcer,inflammatory bowel disease,
ITGB1BP1	integrin subunit beta 1 binding protein 1(ITGB1BP1)	Homo sapiens	breast cancer   ,
ITGB2	integrin subunit beta 2(ITGB2)	Homo sapiens	Alcoholism,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Brain Ischemia|Recurrence|Stroke,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Enterocolitis|Hirschsprung Disease,Glioblastoma|Glioma,Glomerulonephritis, IGA,Kidney Failure, Chronic,Lymphoma, Non-Hodgkin,MPO-ANCA+ vasculitis,Macular Degeneration,Meningeal Neoplasms|meningioma,Narcolepsy,Neoplasms,Obesity,Parkinson's disease    ,Stroke,Type 2 Diabetes| edema | rosiglitazone,anti-myeloperoxidase subtypes of ANCA-associated systemic vasculitides,breast cancer   ,cerebral infarct, atherothrombotic,leukocyte adhesion deficiency,metabolic syndrome,reduced risk of restenosis after coronary stenting,respiratory syncytial virus bronchiolitis,restenosis,retinopathy, diabetic,stroke,thyroid cancer,
ICAM3	intercellular adhesion molecule 3(ICAM3)	Homo sapiens	Arthritis, Rheumatoid|,Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Chronic renal failure|Kidney Failure, Chronic,Hepatitis C|Remission, Spontaneous,Meningeal Neoplasms|meningioma,Severe Acute Respiratory Syndrome,Type 2 Diabetes| edema | rosiglitazone,lactate dehydrogenase severe acute respiratory syndrome,
IFI16	interferon gamma inducible protein 16(IFI16)	Homo sapiens	Autoimmune Diseases,Blood Proteins,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Tobacco Use Disorder,ovarian cancer,
IFITM1	interferon induced transmembrane protein 1(IFITM1)	Homo sapiens	Hepatitis C|Remission, Spontaneous,ovarian cancer,
IRF1	interferon regulatory factor 1(IRF1)	Homo sapiens	Asthma,Asthma|Bronchial Hyperreactivity,Asthma|Bronchial Hyperreactivity|Hypersensitivity, Immediate,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Behcet Syndrome|Thrombosis,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,C-Reactive Protein,Celiac Disease,Crohn's disease,Dengue Hemorrhagic Fever,Eosinophils,Graves' disease,Hepatitis B, Chronic|Viremia,Hepatitis C, Chronic|Multiple Sclerosis,Hypersensitivity,Malaria,Malaria, Falciparum,Multiple Sclerosis,Platelet Count,Tuberculosis,Tuberculosis, Pulmonary,arthritis,asthma,asthma; atopy,bladder cancer,celiac disease,cervical cancer,cervical intraepithelial neoplasia grade 3,chronic obstructive pulmonary disease,circulating fibrinogen levels,diabetes, type 1,fibrinogen,graft-versus-host disease,hepatitis B,hepatitis C,hepatitis C, chronic,juvenile arthritis,lung cancer,lung cancer ,normal variation,respiratory syncytial virus bronchiolitis,subacure sclerosing panencephalitis,
IRF2BP2	interferon regulatory factor 2 binding protein 2(IRF2BP2)	Homo sapiens	Arrhythmias, Cardiac,Cholesterol,Cholesterol, HDL,Cholesterol, LDL,Glucose,
IRF7	interferon regulatory factor 7(IRF7)	Homo sapiens	Autoimmune Diseases|Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Dengue Hemorrhagic Fever,Diabetes Mellitus,Hepatitis C, Chronic|Liver Cirrhosis,Hepatitis C, Chronic|Neutropenia|Thrombocytopenia,Hepatitis C|Remission, Spontaneous,Hypertrophy, Left Ventricular,Lupus Erythematosus, Systemic,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,ovarian cancer,
IL10RA	interleukin 10 receptor subunit alpha(IL10RA)	Homo sapiens	Acquired Immunodeficiency Syndrome|AIDS-Related Opportunistic Infections|Cytomegalovirus Retinitis,Arthritis, Rheumatoid|Lupus Erythematosus, Systemic,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Body Height,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Celiac Disease,Central Nervous System Neoplasms|Central Nervous System Tumors|HIV Infections|Lymphoma, AIDS-Related|[X]Human immunodeficiency virus disease,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes|Obstetric Labor, Premature|Pre-Eclampsia|Premature Birth,Chronic renal failure|Kidney Failure, Chronic,Colitis, Ulcerative|,Connective Tissue Diseases|Fetal Diseases|Inflammation|Musculoskeletal Diseases|Pregnancy Complications, Hematologic|Premature Birth|Skin Diseases,Dengue Hemorrhagic Fever,Graft vs Host Disease|Hematologic Neoplasms,H. pylori infection,HIV,HIV Infections|[X]Human immunodeficiency virus disease,Hepatitis B,Hepatitis C,Hepatitis C|Remission, Spontaneous,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Hyperparathyroidism, Secondary,Hypersensitivity,Infection|Inflammation|Premature Birth,Inflammation|Premature Birth,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Lymphoma, Large B-Cell, Diffuse,Lymphoproliferative Disorders,Multiple Myeloma,Premature Birth|Vaginosis, Bacterial,Sepsis|Systemic infection,Tourette Syndrome,Tunica Media,Type 2 Diabetes| edema | rosiglitazone,benzene haematotoxicity,bladder cancer,cervical intraepithelial neoplasia grade 3,chronic obstructive pulmonary disease,cirrhosis,esophageal adenocarcinoma,hepatitis C,lung cancer,lung cancer ,lung function,lymphoma,measles vaccine immunity,obesity,patent ductus arteriosus,respiratory syncytial virus bronchiolitis,schizophrenia,vascular disease,
IL2RB	interleukin 2 receptor subunit beta(IL2RB)	Homo sapiens	Arthritis, Rheumatoid,Arthritis, Rheumatoid|Rheumatoid Arthritis,Asthma,Asthma|Bronchial Hyperreactivity,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Celiac Disease|,Chagas Disease,Chronic renal failure|Kidney Failure, Chronic,Connective Tissue Diseases|Fetal Diseases|Inflammation|Musculoskeletal Diseases|Pregnancy Complications, Hematologic|Premature Birth|Skin Diseases,Diabetes Mellitus, Type 1,Endometriosis,Hyperparathyroidism, Secondary,Infection|Inflammation|Premature Birth,Inflammation|Premature Birth,Measles|Mumps|Rubella,Myasthenia Gravis,Parkinson Disease,Premature Birth,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,Wegener's granulomatosis,asthma,hepatitis C,hepatocellular carcinoma,inflammatory bowel disease ,leishmaniasis,lung cancer,lung cancer ,measles vaccine immunity,multiple sclerosis,prostate cancer,respiratory syncytial virus bronchiolitis,schizophrenia,schizophrenia; schizoaffective disorder; bipolar disorder,
IL2RG	interleukin 2 receptor subunit gamma(IL2RG)	Homo sapiens	Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Immunologic Deficiency Syndromes|Severe Combined Immunodeficiency,Lymphopenia|SCID|Severe Combined Immunodeficiency,X-linked severe combined immunodeficiency,respiratory syncytial virus bronchiolitis,
IL27RA	interleukin 27 receptor subunit alpha(IL27RA)	Homo sapiens	Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,respiratory syncytial virus bronchiolitis,
ILF3	interleukin enhancer binding factor 3(ILF3)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
ISOC1	isochorismatase domain containing 1(ISOC1)	Homo sapiens	Albumins,Body Composition,Cholesterol,Fibrinogen,
IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta(IDH3B)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
JARID2	jumonji and AT-rich interaction domain containing 2(JARID2)	Homo sapiens	Behcet Syndrome,Neuroblastoma,multiple sclerosis (severity),schizophrenia,
KPNA4	karyopherin subunit alpha 4(KPNA4)	Homo sapiens	Blood Coagulation Factors,Cholesterol, HDL,
KPNB1	karyopherin subunit beta 1(KPNB1)	Homo sapiens	breast cancer   ,
LDHB	lactate dehydrogenase B(LDHB)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,panic disorder,
LBR	lamin B receptor(LBR)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
LMNB1	lamin B1(LMNB1)	Homo sapiens	C-Reactive Protein,Multiple Sclerosis,Type 2 Diabetes| edema | rosiglitazone,
LMAN1	lectin, mannose binding 1(LMAN1)	Homo sapiens	Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Cardiovascular Diseases|,Charcot-Marie-Tooth disease,Factor V Deficiency|Hemophilia A,Heart Diseases,Meningeal Neoplasms|meningioma,Sleep,Type 2 Diabetes| edema | rosiglitazone,atherosclerosis, coronary,coronary artery disease,inflammatory bowel disease,liver disease, chronic,pneumococcal infection,sepsis; systemic inflammatory response syndrome,systemic lupus erythematosus,
LEPROTL1	leptin receptor overlapping transcript like 1(LEPROTL1)	Homo sapiens	Obesity|POF - Premature ovarian failure|POLYCYSTIC OVARIAN SYNDROME|Polycystic Ovary Syndrome|Primary Ovarian Insufficiency|Puberty, Delayed|Puberty, Precocious|Thrombophilia|Tobacco Use Disorder,obesity,
LUZP1	leucine zipper protein 1(LUZP1)	Homo sapiens	Myocardial Infarction,
LNPEP	leucyl and cystinyl aminopeptidase(LNPEP)	Homo sapiens	Hypertension|Pre-Eclampsia|Pregnancy Complications,
LTA4H	leukotriene A4 hydrolase(LTA4H)	Homo sapiens	Asthma,Asthma|Hypersensitivity,Atherosclerosis,Atopic asthma,Body Height,Brain Ischemia|Stroke,Carotid Artery Diseases,Disease Models, Animal|Fish Diseases|Leprosy|Tuberculosis,Myocardial Infarction,Type 2 Diabetes| edema | rosiglitazone,Varicose Veins,asthma,depression,metabolic syndrome,myocardial infarct,
LPXN	leupaxin(LPXN)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
LRIF1	ligand dependent nuclear receptor interacting factor 1(LRIF1)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,
LAT	linker for activation of T cells(LAT)	Homo sapiens	drug-related genes ,
LITAF	lipopolysaccharide induced TNF factor(LITAF)	Homo sapiens	Arrhythmias, Cardiac|Death, Sudden, Cardiac|,Charcot-Marie-Tooth disease,Coronary Disease,Electrocardiography,Multiple Sclerosis,QT interval,bladder cancer,chronic obstructive pulmonary disease,lung cancer,lung cancer ,
LCP1	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens	diabetes, type 2,
KAT6B	lysine acetyltransferase 6B(KAT6B)	Homo sapiens	Alzheimer's disease   ,Blood Coagulation Factors,Cardiovascular Diseases,Natriuretic Peptide, Brain,Tobacco Use Disorder,
KDM2B	lysine demethylase 2B(KDM2B)	Homo sapiens	Tobacco Use Disorder,
LPCAT3	lysophosphatidylcholine acyltransferase 3(LPCAT3)	Homo sapiens	hypertension,
LAMP2	lysosomal associated membrane protein 2(LAMP2)	Homo sapiens	Cardiomegaly|Cardiomyopathy, Dilated|,Fibrinogen,Type 2 Diabetes| edema | rosiglitazone,
MAEA	macrophage erythroblast attacher, E3 ubiquitin ligase(MAEA)	Homo sapiens	Diabetes Mellitus, Type 2,
MFSD14A	major facilitator superfamily domain containing 14A(MFSD14A)	Homo sapiens	Alzheimer Disease,
HLA-E	major histocompatibility complex, class I, E(HLA-E)	Homo sapiens	Abortion, Spontaneous,Anemia, Sickle Cell|Bacterial Infections|Sickle cell anemia,Behcet Syndrome,Behcet's disease,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes|Obstetric Labor, Premature|Pre-Eclampsia|Premature Birth,Coronary Aneurysm|Mucocutaneous Lymph Node Syndrome,Graft vs Host Disease,HIV,HIV; nasopharyngeal cancer,Lupus Erythematosus, Systemic,Psoriasis,ankylosing spondylitis,bone marrow transplantation,cirrhosis, biliary primary; diabetes, gestational,diabetes, gestational,graft-versus-host disease,nasopharyngeal cancer,pregnancy loss, recurrent,recurrent pregnancy loss,
MED28	mediator complex subunit 28(MED28)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,
MAT2A	methionine adenosyltransferase 2A(MAT2A)	Homo sapiens	Breast Neoplasms|,Cleft Lip|Cleft Palate,Spinal Dysraphism,Type 2 Diabetes| edema | rosiglitazone,colorectal cancer,
METAP2	methionyl aminopeptidase 2(METAP2)	Homo sapiens	lung cancer,
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase(MTHFD2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Cleft Lip|Cleft Palate,Heart Defects, Congenital|Spinal Dysraphism,Lymphoma, Follicular|Lymphoma, Large B-Cell, Diffuse,Spinal Dysraphism,bladder cancer,chronic obstructive pulmonary disease,esophageal adenocarcinoma,lung cancer,lung cancer ,
MVD	mevalonate diphosphate decarboxylase(MVD)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,plasma HDL cholesterol (HDL-C) levels,
MAPRE2	microtubule associated protein RP/EB family member 2(MAPRE2)	Homo sapiens	Cholesterol, LDL,Occipital Lobe,Osteoporosis,Parkinson Disease,Tobacco Use Disorder,colorectal cancer,
MIEN1	migration and invasion enhancer 1(MIEN1)	Homo sapiens	breast cancer,breast cancer   ,
MUL1	mitochondrial E3 ubiquitin protein ligase 1(MUL1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
MRPL27	mitochondrial ribosomal protein L27(MRPL27)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
MRPL43	mitochondrial ribosomal protein L43(MRPL43)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Alzheimer's disease   ,
MRPS16	mitochondrial ribosomal protein S16(MRPS16)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Alzheimer's disease   ,
MRPS23	mitochondrial ribosomal protein S23(MRPS23)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Tobacco Use Disorder,
MRPS26	mitochondrial ribosomal protein S26(MRPS26)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
MRPS7	mitochondrial ribosomal protein S7(MRPS7)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
MAP2K3	mitogen-activated protein kinase kinase 3(MAP2K3)	Homo sapiens	Arthritis, Rheumatoid|Rheumatoid Arthritis,
MORF4L1	mortality factor 4 like 1(MORF4L1)	Homo sapiens	Heart Rate,Tobacco Use Disorder,
MBP	myelin basic protein(MBP)	Homo sapiens	Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Blood Pressure,Cholesterol, LDL,Creatinine,Dermatitis, Atopic,Glucose,Hepatitis B,Hip,Meningeal Neoplasms|meningioma,Multiple Sclerosis,Myocardial Infarction,arthritis,breast cancer   ,chronic progressive multiple sclerosis.,diabetic nephropathy,host defence,multiple sclerosis,nephropathy, IgA,schizophrenia,systemic lupus erythematosus,tuberculosis,
MEF2D	myocyte enhancer factor 2D(MEF2D)	Homo sapiens	Apoplexy|Cerebral Hemorrhage|Cerebral Hemorrhages|Intracranial Hemorrhages|Stroke|Subarachnoid Hemorrhage,Bone Mineral Density,Diabetes mellitus|Diabetes mellitus type II|Diabetes Mellitus, Type 2,Type 2 Diabetes| edema | rosiglitazone,hypertension,plasma HDL cholesterol (HDL-C) levels,
MYH9	myosin heavy chain 9(MYH9)	Homo sapiens	AIDS-Associated Nephropathy|Glomerulosclerosis, Focal Segmental|Hypertension,Albuminuria|Hypertension,Apoplexy|Cerebral Hemorrhage|Cerebral Hemorrhages|Intracranial Hemorrhages|Stroke|Subarachnoid Hemorrhage,Chronic renal failure|Diabetes mellitus|Endocrine System Diseases|Kidney Failure, Chronic|Urologic Diseases,Chronic renal failure|Kidney Failure, Chronic,Cleft Lip|Cleft Palate,Cleft Lip|Cleft Palate|,Deafness,Eye,Focal segmental glomsclerosis|Glomerulosclerosis, Focal Segmental,Glomerulonephritis|Hypertension|Kidney Failure, Chronic,Kidney Diseases,Lupus Nephritis|Nephritis SLE,Schizophrenia,Type 2 diabetes,hypertension,schizophrenia,thrombocytopenia,
NELFE	negative elongation factor complex member E(NELFE)	Homo sapiens	Acquired Immunodeficiency Syndrome|HIV Seropositivity,Choroid Diseases|Macular Degeneration|Peripheral Vascular Diseases,Chronic renal failure|Kidney Failure, Chronic,Diabetes Mellitus, Type 1|,Lupus Erythematosus, Systemic,Macular Degeneration,Multiple Sclerosis,
NPTN	neuroplastin(NPTN)	Homo sapiens	Schizophrenia,Waist-Hip Ratio,
NUFIP2	nuclear FMR1 interacting protein 2(NUFIP2)	Homo sapiens	Cholesterol, HDL,
NFATC2	nuclear factor of activated T cells 2(NFATC2)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,Heart Failure,Narcolepsy,Socioeconomic Factors,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,depression,
NEAT1	nuclear paraspeckle assembly transcript 1(NEAT1)	Homo sapiens	Optic Disk,
NCOA4	nuclear receptor coactivator 4(NCOA4)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Alzheimer's disease   ,plasma HDL cholesterol (HDL-C) levels,prostate cancer,thyroid cancer,
NUTF2	nuclear transport factor 2(NUTF2)	Homo sapiens	Cholesterol, HDL,Lipoproteins, HDL,
NOLC1	nucleolar and coiled-body phosphoprotein 1(NOLC1)	Homo sapiens	Alzheimer's disease   ,
NAP1L4	nucleosome assembly protein 1 like 4(NAP1L4)	Homo sapiens	Alcohol dependence ,Alcoholism,
NDEL1	nudE neurodevelopment protein 1 like 1(NDEL1)	Homo sapiens	schizophrenia,
OPTN	optineurin(OPTN)	Homo sapiens	Alzheimer's disease   ,Glaucoma, Open-Angle,Osteitis Deformans,Paget's disease,Retinal Diseases,Tobacco Use Disorder,Wide-angle glaucoma,glaucoma,glaucoma Leber's hereditary optic neuropathy optic atrophy, autosomal dominant,glaucoma, early-onset glaucoma, normal tension,glaucoma, normal-tension glaucoma, primary open-angle,glaucoma, primary open-angle,glaucoma, primary open-angle; glaucoma, normal tension,glaucoma; glaucoma, primary open-angle,normal tension glaucoma,open-angle glaucoma,primary open-angle glaucoma,
ODC1	ornithine decarboxylase 1(ODC1)	Homo sapiens	Adenoma|Colorectal Neoplasms,Adenoma|Colorectal Neoplasms|Neoplasm Recurrence, Local,Cardiovascular Diseases|Carotid Artery Diseases|Coronary Disease|Coronary heart disease|Coronary Restenosis,breast cancer   ,colorectal cancer,gastric disease,
OAZ1	ornithine decarboxylase antizyme 1(OAZ1)	Homo sapiens	Cardiovascular Diseases|Carotid Artery Diseases|Coronary Disease|Coronary heart disease|Coronary Restenosis,lupus erythematosus; lupus nephritis,
OSTF1	osteoclast stimulating factor 1(OSTF1)	Homo sapiens	Alzheimer Disease,Body Mass Index,Bone Mineral Density,Coronary Artery Disease,Echocardiography,Hyperparathyroidism, Secondary,Iron,Multiple Sclerosis,Nonalcoholic Fatty Liver Disease,
PPT1	palmitoyl-protein thioesterase 1(PPT1)	Homo sapiens	Neuronal Ceroid-Lipofuscinoses,Occipital Lobe,schizophrenia,
PANK2	pantothenate kinase 2(PANK2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Parkinson disease,Parkinson's disease,neurodegeneration with brain iron accumulation,
PPIB	peptidylprolyl isomerase B(PPIB)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,
PPID	peptidylprolyl isomerase D(PPID)	Homo sapiens	Metabolism,Nonalcoholic Fatty Liver Disease,
PRF1	perforin 1(PRF1)	Homo sapiens	Alzheimer's disease   ,Arthritis, Juvenile Rheumatoid|Lymphohistiocytosis, Hemophagocytic,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Diabetes Mellitus, Type 1,Epstein-Barr Virus Infections|Lymphohistiocytosis, Hemophagocytic,HIV,HTLV-1 infection,Leukocyte Count,Lymphohistiocytosis, Hemophagocytic,Multiple Sclerosis,Precursor Cell Lymphoblastic Leukemia-Lymphoma,autoimmune lymphoproliferative syndrome,familial hemophagocytic lymphohistiocytosis,hemophagocytic lymphohistiocytosis,juvenile idiopathic arthritis,leukemia, acute lymphoblastic,lymphoma,multiple sclerosis,obesity (extreme),respiratory syncytial virus bronchiolitis,
PRDX3	peroxiredoxin 3(PRDX3)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Aging/ Telomere Length,Alzheimer's disease   ,cognitive trait,
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1(PMAIP1)	Homo sapiens	Multiple Sclerosis,
PDCL3	phosducin like 3(PDCL3)	Homo sapiens	Creutzfeldt-Jakob Syndrome,Heart Rate,
PGD	phosphogluconate dehydrogenase(PGD)	Homo sapiens	Carcinoma, Hepatocellular|Hepatitis B, Chronic|LCC - Liver cell carcinoma|Liver neoplasms,Type 2 Diabetes| edema | rosiglitazone,
PLD3	phospholipase D family member 3(PLD3)	Homo sapiens	breast cancer,
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase(GART)	Homo sapiens	Cleft Lip|Cleft Palate,Cleft Lip|Cleft Palate|Tooth Abnormalities,Macular Degeneration,Spinal Dysraphism,colorectal cancer,patent ductus arteriosus,
PCIF1	phosphorylated CTD interacting factor 1(PCIF1)	Homo sapiens	Cholesterol, HDL,Triglycerides,
PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)	Homo sapiens	Alzheimer's disease,Asthma,Asthma. atopy,Asthma. atopy. spIgE.,Atherosclerosis|Cardiovascular Diseases,Atopy. asthma,Atopy. spIgE. total IgE. asthma. atopic asthma,C-reactive protein; kawasaki disease,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes,Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes|Obstetric Labor, Premature|Pre-Eclampsia|Premature Birth,Classical Lissencephalies and Subcortical Band Heterotopias,Cleft Lip|Cleft Palate,Connective Tissue Diseases|Fetal Diseases|Inflammation|Musculoskeletal Diseases|Pregnancy Complications, Hematologic|Premature Birth|Skin Diseases,Infection|Inflammation|Premature Birth,Inflammation|Premature Birth,Premature Birth,Severe asthma,Total IgE,Total IgE. atopic asthma,Tunica Media,Type 2 Diabetes| edema | rosiglitazone,asthma,atherosclerosis, coronary,atherosclerosis, coronary myocardial infarct,bipolar disorder schizophrenia,cardiomyopathy,cerebral infarct,coronary heart disease,glaucoma, primary open-angle,graft occlusion, atherosclerotic,multiple sclerosis,schizophrenia,
PABPN1	poly(A) binding protein nuclear 1(PABPN1)	Homo sapiens	Muscular Dystrophy, oculopharyngeal,benzene haematotoxicity,
PTBP3	polypyrimidine tract binding protein 3(PTBP3)	Homo sapiens	Tobacco Use Disorder,
KCTD20	potassium channel tetramerization domain containing 20(KCTD20)	Homo sapiens	Tobacco Use Disorder,
PRPF40A	pre-mRNA processing factor 40 homolog A(PRPF40A)	Homo sapiens	Atrial Natriuretic Factor,CD40 Ligand,Follicle Stimulating Hormone,
PDCD2	programmed cell death 2(PDCD2)	Homo sapiens	Heart Rate,diabetes, type 1,
PDCD5	programmed cell death 5(PDCD5)	Homo sapiens	esophageal adenocarcinoma,leukemia, chronic myelogenous,lung cancer,lung cancer ,
PDCD6IP	programmed cell death 6 interacting protein(PDCD6IP)	Homo sapiens	Blood Pressure Determination,Body Fat Distribution,Cholesterol, LDL,Diabetes Mellitus, Type 2,Hemoglobin A, Glycosylated,Hip,Stroke,Tobacco Use Disorder,longevity,
PSMB1	proteasome 20S subunit beta 1(PSMB1)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,diabetes, type 1,
PSMB8	proteasome 20S subunit beta 8(PSMB8)	Homo sapiens	Alveolitis, Extrinsic Allergic|Extrinsic allergic alveolitis,Alzheimers disease; juvenile arthritis,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Brucellosis,Diabetes Mellitus, Type 1,Glomerulonephritis, IGA,Hepatitis C|Remission, Spontaneous,Hypertension,JRA,Lupus Erythematosus, Systemic,Papillomavirus Infections|Uterine Cervical Neoplasms,Spondylitis, Ankylosing,Type 2 Diabetes| edema | rosiglitazone,Uterine Cervical Neoplasms,Vitiligo,acute coronary syndrome,ankylosing spondylitis,arthritis, juvenile,dermatitis, atopic,diabetes, type 1,hepatitis B,interferon response,juvenile arthritis,liver disease,multiple sclerosis,psoriasis,respiratory syncytial virus bronchiolitis,sarcoidosis.,spondyloarthropathies,
PSMB9	proteasome 20S subunit beta 9(PSMB9)	Homo sapiens	Alveolitis, Extrinsic Allergic|Extrinsic allergic alveolitis,Alzheimer's Disease,Alzheimers disease; juvenile arthritis,Brucellosis,Forced Vital Capacity,Graves disease,Hypertension,Lupus Erythematosus, Systemic,Myocardial Infarction,Papillomavirus Infections|Uterine Cervical Neoplasms,Spondylitis, Ankylosing,Type 2 Diabetes| edema | rosiglitazone,Uterine Cervical Neoplasms,acute coronary syndrome,ankylosing spondylitis,colorectal cancer,dermatitis, atopic,diabetes, type 1,hepatitis B,interferon response,juvenile arthritis,malaria; hypoglycemia; hyperparasitemia,multiple sclerosis,multiple sclerosis; IgA nephropathy,psoriasis,rheumatoid arthritis,spondyloarthropathies,
PSMC1	proteasome 26S subunit, ATPase 1(PSMC1)	Homo sapiens	Tobacco Use Disorder,
