ID	Gene Name	Species	DISGENET
CASP8	caspase 8(CASP8)	Homo sapiens	C0001418~Adenocarcinoma,C0005586~Bipolar Disorder,C0006142~Malignant neoplasm of breast,C0007114~Malignant neoplasm of skin,C0007131~Non-Small Cell Lung Carcinoma,C0007873~Uterine Cervical Neoplasm,C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,C0011616~Contact Dermatitis,C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0013604~Edema,C0014859~Esophageal Neoplasms,C0023452~Childhood Acute Lymphoblastic Leukemia,C0023453~L2 Acute Lymphoblastic Leukemia,C0024121~Lung Neoplasms,C0024623~Malignant neoplasm of stomach,C0025202~melanoma,C0027055~Myocardial Reperfusion Injury,C0035126~Reperfusion Injury,C0037286~Skin Neoplasms,C0038220~Status Epilepticus,C0038356~Stomach Neoplasms,C0151603~Anasarca,C0162351~Contact hypersensitivity,C0162820~Dermatitis, Allergic Contact,C0205641~Adenocarcinoma, Basal Cell,C0205642~Adenocarcinoma, Oxyphilic,C0205643~Carcinoma, Cribriform,C0205644~Carcinoma, Granular Cell,C0205645~Adenocarcinoma, Tubular,C0242379~Malignant neoplasm of lung,C0270823~Petit mal status,C0279607~Adult Hepatocellular Carcinoma,C0311335~Grand Mal Status Epilepticus,C0343641~Human papilloma virus infection,C0393734~Complex Partial Status Epilepticus,C0496956~Neoplasm of uncertain or unknown behavior of breast,C0546837~Malignant neoplasm of esophagus,C0585362~Squamous cell carcinoma of mouth,C0678222~Breast Carcinoma,C0751522~Status Epilepticus, Subclinical,C0751523~Non-Convulsive Status Epilepticus,C0751524~Simple Partial Status Epilepticus,C0858252~Breast adenocarcinoma,C1168401~Squamous cell carcinoma of the head and neck,C1257931~Mammary Neoplasms, Human,C1328840~Autoimmune Lymphoproliferative Syndrome,C1458155~Mammary Neoplasms,C1708349~Hereditary Diffuse Gastric Cancer,C1846545~Autoimmune Lymphoproliferative Syndrome Type 2B,C1961102~Precursor Cell Lymphoblastic Leukemia Lymphoma,C2239176~Liver carcinoma,C2717884~Autoimmune Lymphoproliferative Syndrome Type 1, Autosomal Dominant,C2931456~Prostate cancer, familial,C2937358~Cerebral Hemorrhage,C4048328~cervical cancer,C4704874~Mammary Carcinoma, Human,C4722327~PROSTATE CANCER, HEREDITARY, 1,
CTSB	cathepsin B(CTSB)	Homo sapiens	C0007134~Renal Cell Carcinoma,C0017636~Glioblastoma,C0026848~Myopathy,C0027540~Necrosis,C0027626~Neoplasm Invasiveness,C0033578~Prostatic Neoplasms,C0033687~Proteinuria,C0235874~Disease Exacerbation,C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C0334588~Giant Cell Glioblastoma,C0376358~Malignant neoplasm of prostate,C0406756~Keratolytic winter erythema,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,C1621958~Glioblastoma Multiforme,
CTSC	cathepsin C(CTSC)	Homo sapiens	C0024623~Malignant neoplasm of stomach,C0030360~Papillon-Lefevre Disease,C0031090~Periodontal Diseases,C0031106~Aggressive Periodontitis,C0034219~Alveolar pyorrhea,C0038356~Stomach Neoplasms,C0151744~Myocardial Ischemia,C0162820~Dermatitis, Allergic Contact,C0235874~Disease Exacerbation,C0600298~Periodontosis,C1708349~Hereditary Diffuse Gastric Cancer,C1855627~HAIM-MUNK SYNDROME,C2713394~Haim-Monk Syndrome,C4025886~Severe periodontitis,C4551675~Keratoderma, Palmoplantar,C4551681~Periodontitis, Aggressive, 1,
CCAR2	cell cycle and apoptosis regulator 2(CCAR2)	Homo sapiens	C0043020~Wallerian Degeneration,
CDC25B	cell division cycle 25B(CDC25B)	Homo sapiens	C0019193~Hepatitis, Toxic,C0860207~Drug-Induced Liver Disease,C1135196~Heart Failure, Diastolic,C1262760~Hepatitis, Drug-Induced,C3658290~Drug-Induced Acute Liver Injury,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,
CCAR1	cell division cycle and apoptosis regulator 1(CCAR1)	Homo sapiens	C0009402~Colorectal Carcinoma,
CEP57	centrosomal protein 57(CEP57)	Homo sapiens	C1850343~Mosaic variegated aneuploidy syndrome 1,C2931286~Warburton Anyane Yeboa syndrome,C2931383~Chromosomal mosaicism due to mitotic instability,C3279843~MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 2,
CRBN	cereblon(CRBN)	Homo sapiens	C0000771~Abnormalities, Drug-Induced,C0026764~Multiple Myeloma,C0265541~Cranioschisis,C0497552~Congenital neurologic anomalies,C1843942~Mental Retardation, Autosomal Recessive 2,
CCT2	chaperonin containing TCP1 subunit 2(CCT2)	Homo sapiens	C0001787~Osteoporosis, Age-Related,C0029456~Osteoporosis,C0029459~Osteoporosis, Senile,C0751406~Post-Traumatic Osteoporosis,
CCT3	chaperonin containing TCP1 subunit 3(CCT3)	Homo sapiens	C0019193~Hepatitis, Toxic,C0019693~HIV Infections,C0860207~Drug-Induced Liver Disease,C1262760~Hepatitis, Drug-Induced,C3658290~Drug-Induced Acute Liver Injury,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,C4505456~HIV Coinfection,
CHMP1B	charged multivesicular body protein 1B(CHMP1B)	Homo sapiens	C0005586~Bipolar Disorder,
CHMP4B	charged multivesicular body protein 4B(CHMP4B)	Homo sapiens	C0858617~Posterior subcapsular cataract,C1854311~Cataract, posterior polar, 3,
CHMP5	charged multivesicular body protein 5(CHMP5)	Homo sapiens	C0023467~Leukemia, Myelocytic, Acute,C0026998~Acute Myeloid Leukemia, M1,C1879321~Acute Myeloid Leukemia (AML-M2),
CLNS1A	chloride nucleotide-sensitive channel 1A(CLNS1A)	Homo sapiens	C0025202~melanoma,
CHD2	chromodomain helicase DNA binding protein 2(CHD2)	Homo sapiens	C0014544~Epilepsy,C0040517~Gilles de la Tourette syndrome,C0086237~Epilepsy, Cryptogenic,C0236018~Aura,C0238111~Lennox-Gastaut syndrome,C0393702~Myoclonic Astatic Epilepsy,C0543888~Epileptic encephalopathy,C0751111~Awakening Epilepsy,C0751776~Atypical Inclusion-Body Disease,C0751777~Familial Progressive Myoclonic Epilepsy,C0751778~Myoclonic Epilepsies, Progressive,C0751779~Action Myoclonus-Renal Failure Syndrome,C0751780~Biotin-Responsive Encephalopathy,C0751781~Dentatorubral-Pallidoluysian Atrophy,C0751782~May-White Syndrome,C1510586~Autism Spectrum Disorders,C1535926~Neurodevelopmental Disorders,C3809278~EPILEPTIC ENCEPHALOPATHY, CHILDHOOD-ONSET,
C12ORF57	chromosome 12 open reading frame 57(C12orf57)	Homo sapiens	C0020796~Profound Mental Retardation,C0025363~Mental Retardation, Psychosocial,C0917816~Mental deficiency,C1857512~Temtamy syndrome,C3714756~Intellectual Disability,
CS	citrate synthase(CS)	Homo sapiens	C0003129~Anoxemia,C0003130~Anoxia,C0018801~Heart failure,C0018802~Congestive heart failure,C0023212~Left-Sided Heart Failure,C0028754~Obesity,C0033141~Cardiomyopathies, Primary,C0036529~Myocardial Diseases, Secondary,C0235527~Heart Failure, Right-Sided,C0242184~Hypoxia,C0700292~Hypoxemia,C0878544~Cardiomyopathies,C1959583~Myocardial Failure,C1961112~Heart Decompensation,
CCDC47	coiled-coil domain containing 47(CCDC47)	Homo sapiens	C0343073~Wooly hair,C0557874~Global developmental delay,C3714756~Intellectual Disability,C4021780~Abnormality of the liver,C4748898~TRICHOHEPATONEURODEVELOPMENTAL SYNDROME,
CSDE1	cold shock domain containing E1(CSDE1)	Homo sapiens	C0004352~Autistic Disorder,C0557874~Global developmental delay,C3714756~Intellectual Disability,
C1QBP	complement C1q binding protein(C1QBP)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4540209~COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 33,C4704874~Mammary Carcinoma, Human,
CPNE3	copine 3(CPNE3)	Homo sapiens	C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,
CCS	copper chaperone for superoxide dismutase(CCS)	Homo sapiens	C0019189~Hepatitis, Chronic,C0149519~Chronic Persistent Hepatitis,C0520463~Chronic active hepatitis,C0524611~Cryptogenic Chronic Hepatitis,
CORO1B	coronin 1B(CORO1B)	Homo sapiens	C0009402~Colorectal Carcinoma,
CUL4A	cullin 4A(CUL4A)	Homo sapiens	C0004238~Atrial Fibrillation,C0014518~Toxic Epidermal Necrolysis,C0038325~Stevens-Johnson Syndrome,C0235480~Paroxysmal atrial fibrillation,C1274933~Drug-Induced Stevens Johnson Syndrome,C2585653~Persistent atrial fibrillation,C3468561~familial atrial fibrillation,C3658301~Mycoplasma-Induced Stevens-Johnson Syndrome,C3658302~Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum,
CAP1	cyclase associated actin cytoskeleton regulatory protein 1(CAP1)	Homo sapiens	C0001787~Osteoporosis, Age-Related,C0019193~Hepatitis, Toxic,C0029456~Osteoporosis,C0029459~Osteoporosis, Senile,C0751406~Post-Traumatic Osteoporosis,C0860207~Drug-Induced Liver Disease,C1262760~Hepatitis, Drug-Induced,C3658290~Drug-Induced Acute Liver Injury,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,
CCND2	cyclin D2(CCND2)	Homo sapiens	C0006826~Malignant Neoplasms,C0007102~Malignant tumor of colon,C0009375~Colonic Neoplasms,C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,C0009451~Communicating Hydrocephalus,C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0016059~Fibrosis,C0018800~Cardiomegaly,C0020255~Hydrocephalus,C0020256~Congenital Hydrocephalus,C0023467~Leukemia, Myelocytic, Acute,C0024121~Lung Neoplasms,C0026998~Acute Myeloid Leukemia, M1,C0033578~Prostatic Neoplasms,C0036341~Schizophrenia,C0151744~Myocardial Ischemia,C0152427~Polydactyly,C0220697~POLYDACTYLY, POSTAXIAL,C0221355~Macrocephaly,C0242379~Malignant neoplasm of lung,C0270720~Hydrocephalus Ex-Vacuo,C0376358~Malignant neoplasm of prostate,C0477432~Post-Traumatic Hydrocephalus,C0549423~Obstructive Hydrocephalus,C0684249~Carcinoma of lung,C0919267~ovarian neoplasm,C1140680~Malignant neoplasm of ovary,C1383860~Cardiac Hypertrophy,C1531647~Cerebral ventriculomegaly,C1623038~Cirrhosis,C1845668~Perisylvian syndrome,C1863924~Megalanecephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome,C1868120~POSTAXIAL POLYDACTYLY, TYPE B,C1879321~Acute Myeloid Leukemia (AML-M2),C1879677~Alcohol Toxicity,C2936718~Fetal Cerebral Ventriculomegaly,C2936786~Aqueductal Stenosis,C3887487~Postaxial polydactyly type A,C4012727~MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 1,C4014742~MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 3,C4282400~Polydactyly, Postaxial, Type A1,
CCND3	cyclin D3(CCND3)	Homo sapiens	C0006826~Malignant Neoplasms,C1961099~Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,
GAK	cyclin G associated kinase(GAK)	Homo sapiens	C0030567~Parkinson Disease,
CCNH	cyclin H(CCNH)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0007097~Carcinoma,C0007102~Malignant tumor of colon,C0007131~Non-Small Cell Lung Carcinoma,C0009375~Colonic Neoplasms,C0014859~Esophageal Neoplasms,C0017636~Glioblastoma,C0023903~Liver neoplasms,C0024232~Lymphatic Metastasis,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0033578~Prostatic Neoplasms,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0334588~Giant Cell Glioblastoma,C0345904~Malignant neoplasm of liver,C0376358~Malignant neoplasm of prostate,C0546837~Malignant neoplasm of esophagus,C0678222~Breast Carcinoma,C0919267~ovarian neoplasm,C1140680~Malignant neoplasm of ovary,C1257925~Mammary Carcinoma, Animal,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1621958~Glioblastoma Multiforme,C4704874~Mammary Carcinoma, Human,
CNPPD1	cyclin Pas1/PHO80 domain containing 1(CNPPD1)	Homo sapiens	C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,C0036341~Schizophrenia,
CDK4	cyclin dependent kinase 4(CDK4)	Homo sapiens	C0006118~Brain Neoplasms,C0006826~Malignant Neoplasms,C0007097~Carcinoma,C0023827~liposarcoma,C0024299~Lymphoma,C0024623~Malignant neoplasm of stomach,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0025202~melanoma,C0027659~Neoplasms, Experimental,C0038356~Stomach Neoplasms,C0151779~Cutaneous Melanoma,C0153633~Malignant neoplasm of brain,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0205824~Liposarcoma, Dedifferentiated,C0205825~Liposarcoma, Pleomorphic,C0496899~Benign neoplasm of brain, unspecified,C0677866~Brain Stem Neoplasms,C0750974~Brain Tumor, Primary,C0750977~Recurrent Brain Neoplasm,C0750979~Primary malignant neoplasm of brain,C0751886~Brain Stem Neoplasms, Primary,C0751887~Medullary Neoplasms,C0751888~Mesencephalic Neoplasms,C0751889~Pontine Tumors,C1168401~Squamous cell carcinoma of the head and neck,C1257925~Mammary Carcinoma, Animal,C1370889~Liposarcoma, well differentiated,C1512419~Hereditary Melanoma,C1527390~Neoplasms, Intracranial,C1708349~Hereditary Diffuse Gastric Cancer,C1836892~MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3,C2239176~Liver carcinoma,C2314896~Familial Atypical Mole Melanoma Syndrome,
CYSTM1	cysteine rich transmembrane module containing 1(CYSTM1)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
DAXX	death domain associated protein(DAXX)	Homo sapiens	C0017636~Glioblastoma,C0030297~Pancreatic Neoplasm,C0206686~Adrenocortical carcinoma,C0206754~Neuroendocrine Tumors,C0346647~Malignant neoplasm of pancreas,C1328479~Pancreatic Endocrine Carcinoma,
DOCK10	dedicator of cytokinesis 10(DOCK10)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
DESI2	desumoylating isopeptidase 2(DESI2)	Homo sapiens	C0919267~ovarian neoplasm,C1140680~Malignant neoplasm of ovary,C3495676~Anorectal Malformations,
DBI	diazepam binding inhibitor, acyl-CoA binding protein(DBI)	Homo sapiens	C0007097~Carcinoma,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C1257925~Mammary Carcinoma, Animal,
DOK2	docking protein 2(DOK2)	Homo sapiens	C0024121~Lung Neoplasms,C0242379~Malignant neoplasm of lung,
DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit(DDOST)	Homo sapiens	C3281084~Congenital disorder of glycosylation type 1r,
DBNL	drebrin like(DBNL)	Homo sapiens	C0005586~Bipolar Disorder,
DYNLL1	dynein light chain LC8-type 1(DYNLL1)	Homo sapiens	C0007786~Brain Ischemia,C0917798~Cerebral Ischemia,
EMB	embigin(EMB)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,C0162820~Dermatitis, Allergic Contact,
ETNK1	ethanolamine kinase 1(ETNK1)	Homo sapiens	C0023473~Myeloid Leukemia, Chronic,C0087031~Juvenile-Onset Still Disease,C1292772~Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative,C1540912~Hypereosinophilic syndrome,C3495559~Juvenile arthritis,C3714758~Juvenile psoriatic arthritis,C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative,C4704862~Polyarthritis, Juvenile, Rheumatoid Factor Positive,
EEF2	eukaryotic translation elongation factor 2(EEF2)	Homo sapiens	C0001418~Adenocarcinoma,C0006142~Malignant neoplasm of breast,C0007134~Renal Cell Carcinoma,C0024121~Lung Neoplasms,C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,C0029408~Degenerative polyarthritis,C0086743~Osteoarthrosis Deformans,C0205641~Adenocarcinoma, Basal Cell,C0205642~Adenocarcinoma, Oxyphilic,C0205643~Carcinoma, Cribriform,C0205644~Carcinoma, Granular Cell,C0205645~Adenocarcinoma, Tubular,C0242379~Malignant neoplasm of lung,C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,C1458155~Mammary Neoplasms,C1836395~SPINOCEREBELLAR ATAXIA 26,C4704874~Mammary Carcinoma, Human,
EIF3F	eukaryotic translation initiation factor 3 subunit F(EIF3F)	Homo sapiens	C0018784~Sensorineural Hearing Loss (disorder),C0036572~Seizures,C0233514~Abnormal behavior,C3714756~Intellectual Disability,C4749019~INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67,
EIF3H	eukaryotic translation initiation factor 3 subunit H(EIF3H)	Homo sapiens	C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,C2239176~Liver carcinoma,
EIF3I	eukaryotic translation initiation factor 3 subunit I(EIF3I)	Homo sapiens	C0007102~Malignant tumor of colon,C0007621~Neoplastic Cell Transformation,C0009375~Colonic Neoplasms,
EIF4G1	eukaryotic translation initiation factor 4 gamma 1(EIF4G1)	Homo sapiens	C0009402~Colorectal Carcinoma,C3280271~PARKINSON DISEASE 18,
FIP1L1	factor interacting with PAPOLA and CPSF1(FIP1L1)	Homo sapiens	C0018801~Heart failure,C0018802~Congestive heart failure,C0023212~Left-Sided Heart Failure,C0023487~Acute Promyelocytic Leukemia,C0206141~Idiopathic Hypereosinophilic Syndrome,C0206142~Eosinophilic leukemia,C0206143~Loeffler's Endocarditis,C0235527~Heart Failure, Right-Sided,C0346421~Chronic eosinophilic leukemia,C1540912~Hypereosinophilic syndrome,C1959583~Myocardial Failure,C1961112~Heart Decompensation,
FLNA	filamin A(FLNA)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0010701~Phyllodes Tumor,C0013366~Dyschondroplasias,C0014544~Epilepsy,C0021847~Intestinal Pseudo-Obstruction,C0023893~Liver Cirrhosis, Experimental,C0025237~Melnick-Needles Syndrome,C0026760~Multiple Epiphyseal Dysplasia,C0029422~Osteochondrodysplasias,C0036391~Schwartz-Jampel Syndrome,C0038015~Spondyloepiphyseal Dysplasia,C0086237~Epilepsy, Cryptogenic,C0220769~FG syndrome,C0236018~Aura,C0262436~Cardiac valvular dysplasia, X-linked,C0265251~Oto-Palato-digital syndrome type 1,C0265293~Frontometaphyseal dysplasia,C0268341~Ehlers-Danlos syndrome type 5,C0432272~Van Buchem disease,C0543888~Epileptic encephalopathy,C0600066~Malignant Cystosarcoma Phyllodes,C0678222~Breast Carcinoma,C0751111~Awakening Epilepsy,C0878659~Disproportionate short stature,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1844696~OTOPALATODIGITAL SYNDROME, TYPE II,C1845235~Heterotopia, Periventricular, Ehlers-Danlos Variant,C1845546~FG SYNDROME 4 (disorder),C1845567~FG SYNDROME 3,C1845902~FG SYNDROME 2,C1846129~Terminal Osseous Dysplasia and Pigmentary Defects,C1848213~Periventricular Heterotopia, X-Linked,C1855733~Neuronal intestinal pseudoobstruction,C1868720~Periventricular Nodular Heterotopia,C2746068~Congenital idiopathic intestinal pseudoobstruction,C2751260~Macrothrombocytopenia,C3541456~Spondyloepiphyseal Dysplasia Tarda, X-Linked,C4281559~FRONTOMETAPHYSEAL DYSPLASIA 1,C4551479~Schwartz-Jampel Syndrome, Type 1,C4551969~Bilateral Periventricular Nodular Heterotopia,C4704874~Mammary Carcinoma, Human,C4707243~Familial thoracic aortic aneurysm and aortic dissection,
FNBP4	formin binding protein 4(FNBP4)	Homo sapiens	C0599973~Waardenburg Anophthalmia Syndrome,
GLA	galactosidase alpha(GLA)	Homo sapiens	C0002985~Angiokeratoma,C0002986~Fabry Disease,C0026654~Moyamoya Disease,C0027707~Nephritis, Interstitial,C0035078~Kidney Failure,C0038454~Cerebrovascular accident,C0041349~Nephritis, Tubulointerstitial,C0369183~Erythrocyte Mean Corpuscular Hemoglobin Test,C0553692~Brain hemorrhage,C0878544~Cardiomyopathies,C0948008~Ischemic stroke,C1261502~Finding of Mean Corpuscular Hemoglobin,C1565489~Renal Insufficiency,C2733158~Cerebral Small Vessel Diseases,C3889261~Other License Status,
GLB1	galactosidase beta 1(GLB1)	Homo sapiens	C0005941~Bone Diseases, Developmental,C0010038~Corneal Opacity,C0011615~Dermatitis, Atopic,C0011616~Contact Dermatitis,C0013366~Dyschondroplasias,C0025237~Melnick-Needles Syndrome,C0026707~Mucopolysaccharidosis IV,C0026760~Multiple Epiphyseal Dysplasia,C0029422~Osteochondrodysplasias,C0036391~Schwartz-Jampel Syndrome,C0036572~Seizures,C0038015~Spondyloepiphyseal Dysplasia,C0085131~Gangliosidosis GM1,C0086196~Eczema, Infantile,C0086651~Mucopolysaccharidosis, MPS-IV-A,C0086652~Mucopolysaccharidosis type IVB,C0162351~Contact hypersensitivity,C0268271~Gangliosidosis, Generalized GM1, Type 1 (disorder),C0268272~Gangliosidosis, Generalized GM1, Type 2,C0268273~Gangliosidosis, Generalized GM1, Type 3,C0432272~Van Buchem disease,C2718068~beta-Galactosidase Deficiency,C3179194~GALNS Deficiency,C3541456~Spondyloepiphyseal Dysplasia Tarda, X-Linked,C4551479~Schwartz-Jampel Syndrome, Type 1,
LGALS1	galectin 1(LGALS1)	Homo sapiens	C0007131~Non-Small Cell Lung Carcinoma,C0022548~Keloid,C0023890~Liver Cirrhosis,C0023893~Liver Cirrhosis, Experimental,C0027697~Nephritis,C0239946~Fibrosis, Liver,
LGALS3	galectin 3(LGALS3)	Homo sapiens	C0000786~Spontaneous abortion,C0000822~Abortion, Tubal,C0007621~Neoplastic Cell Transformation,C0014859~Esophageal Neoplasms,C0016059~Fibrosis,C0019193~Hepatitis, Toxic,C0023893~Liver Cirrhosis, Experimental,C0024623~Malignant neoplasm of stomach,C0025202~melanoma,C0027051~Myocardial Infarction,C0027540~Necrosis,C0027627~Neoplasm Metastasis,C0027697~Nephritis,C0038356~Stomach Neoplasms,C0042373~Vascular Diseases,C0546837~Malignant neoplasm of esophagus,C0860207~Drug-Induced Liver Disease,C1262760~Hepatitis, Drug-Induced,C1536220~ST segment elevation myocardial infarction,C1623038~Cirrhosis,C1708349~Hereditary Diffuse Gastric Cancer,C3658290~Drug-Induced Acute Liver Injury,C3830362~Early Pregnancy Loss,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,C4552766~Miscarriage,
GTF2E2	general transcription factor IIE subunit 2(GTF2E2)	Homo sapiens	C1955934~Trichothiodystrophy Syndromes,C4310785~TRICHOTHIODYSTROPHY 6, NONPHOTOSENSITIVE,
GPI	glucose-6-phosphate isomerase(GPI)	Homo sapiens	C0002878~Anemia, Hemolytic,C0002879~Anemia, Hemolytic, Acquired,C0002889~Anemia, Microangiopathic,C0006142~Malignant neoplasm of breast,C0221021~Microangiopathic hemolytic anemia,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C3150730~HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO GLUCOSE PHOSPHATE ISOMERASE DEFICIENCY,C4704874~Mammary Carcinoma, Human,
GRWD1	glutamate rich WD repeat containing 1(GRWD1)	Homo sapiens	C0152013~Adenocarcinoma of lung (disorder),
GCLM	glutamate-cysteine ligase modifier subunit(GCLM)	Homo sapiens	C0005138~Berylliosis,C0019193~Hepatitis, Toxic,C0027051~Myocardial Infarction,C0033937~Psychoses, Drug,C0860207~Drug-Induced Liver Disease,C1262760~Hepatitis, Drug-Induced,C1832662~MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO,C2350873~Beryllium Disease,C3658290~Drug-Induced Acute Liver Injury,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,
QRICH1	glutamine rich 1(QRICH1)	Homo sapiens	C3714756~Intellectual Disability,C4693824~VERVERI-BRADY SYNDROME,
GYG1	glycogenin 1(GYG1)	Homo sapiens	C0003811~Cardiac Arrhythmia,C0017919~Glycogen Storage Disease,C0151744~Myocardial Ischemia,C0151786~Muscle Weakness,C3150754~GLYCOGEN STORAGE DISEASE XV,C4015452~POLYGLUCOSAN BODY MYOPATHY 2,
GPAA1	glycosylphosphatidylinositol anchor attachment 1(GPAA1)	Homo sapiens	C0557874~Global developmental delay,C4540520~GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 15,
GLO1	glyoxalase I(GLO1)	Homo sapiens	C0003469~Anxiety Disorders,C0004352~Autistic Disorder,C0005586~Bipolar Disorder,C0011570~Mental Depression,C0011573~Endogenous depression,C0011581~Depressive disorder,C0025193~Melancholia,C0025202~melanoma,C0036341~Schizophrenia,C0041696~Unipolar Depression,C0086133~Depressive Syndrome,C0279626~Squamous cell carcinoma of esophagus,C0282126~Depression, Neurotic,C0376280~Anxiety States, Neurotic,C1279420~Anxiety neurosis (finding),
GOLGA4	golgin A4(GOLGA4)	Homo sapiens	C0033578~Prostatic Neoplasms,C0037274~Dermatologic disorders,C0274861~Arsenic Poisoning, Inorganic,C0274862~Nervous System, Organic Arsenic Poisoning,C0311375~Arsenic Poisoning,C0376358~Malignant neoplasm of prostate,C0751851~Arsenic Encephalopathy,C0751852~Arsenic Induced Polyneuropathy,
GBP2	guanylate binding protein 2(GBP2)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,C0151744~Myocardial Ischemia,
GBP4	guanylate binding protein 4(GBP4)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
HSP90AB1	heat shock protein 90 alpha family class B member 1(HSP90AB1)	Homo sapiens	C0019693~HIV Infections,C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,C4505456~HIV Coinfection,
HSPA8	heat shock protein family A (Hsp70) member 8(HSPA8)	Homo sapiens	C0001418~Adenocarcinoma,C0007137~Squamous cell carcinoma,C0024623~Malignant neoplasm of stomach,C0026640~Mouth Neoplasms,C0035126~Reperfusion Injury,C0038356~Stomach Neoplasms,C0153381~Malignant neoplasm of mouth,C0205641~Adenocarcinoma, Basal Cell,C0205642~Adenocarcinoma, Oxyphilic,C0205643~Carcinoma, Cribriform,C0205644~Carcinoma, Granular Cell,C0205645~Adenocarcinoma, Tubular,C0948089~Acute Coronary Syndrome,C1708349~Hereditary Diffuse Gastric Cancer,C1846707~SPINOCEREBELLAR ATAXIA 17,
